dev3221_imps_34, freq /Hz, Zr , Zi, Zr calc, Zi calc
5.000000E+6;2.308040E+3;-4.358320E+3;2.656137E+3;-6.062695E+3
4.304039E+6;2.506840E+3;-5.120760E+3;3.017911E+3;-6.767093E+3
3.704951E+6;2.749520E+3;-5.969060E+3;3.432446E+3;-7.547331E+3
3.189251E+6;3.044990E+3;-6.912400E+3;3.907999E+3;-8.409863E+3
2.745333E+6;3.407210E+3;-7.962700E+3;4.454142E+3;-9.361169E+3
2.363204E+6;3.852940E+3;-9.132460E+3;5.081939E+3;-1.040757E+4
2.034265E+6;4.403530E+3;-1.042400E+4;5.804125E+3;-1.155495E+4
1.751111E+6;5.071070E+3;-1.184460E+4;6.635276E+3;-1.280845E+4
1.507370E+6;5.882830E+3;-1.340590E+4;7.591948E+3;-1.417195E+4
1.297556E+6;6.864390E+3;-1.510140E+4;8.692757E+3;-1.564761E+4
1.116947E+6;8.045180E+3;-1.693770E+4;9.958371E+3;-1.723511E+4
9.614765E+5;9.277230E+3;-1.850800E+4;1.141135E+4;-1.893088E+4
8.276465E+5;1.095630E+4;-2.067170E+4;1.307580E+4;-2.072722E+4
7.124447E+5;1.293450E+4;-2.291570E+4;1.497670E+4;-2.261128E+4
6.132780E+5;1.523900E+4;-2.520890E+4;1.713899E+4;-2.456412E+4
5.279145E+5;1.789480E+4;-2.751400E+4;1.958613E+4;-2.655988E+4
4.544330E+5;2.092140E+4;-2.978090E+4;2.233832E+4;-2.856515E+4
3.911795E+5;2.432400E+4;-3.195590E+4;2.541029E+4;-3.053893E+4
3.367304E+5;2.809570E+4;-3.397020E+4;2.880882E+4;-3.243317E+4
2.898602E+5;3.221350E+4;-3.576030E+4;3.253018E+4;-3.419426E+4
2.495140E+5;3.663650E+4;-3.726280E+4;3.655791E+4;-3.576547E+4
2.147836E+5;4.131100E+4;-3.842090E+4;4.086125E+4;-3.709040E+4
1.848874E+5;4.616600E+4;-3.919440E+4;4.539478E+4;-3.811708E+4
1.591525E+5;5.111550E+4;-3.955040E+4;5.009949E+4;-3.880240E+4
1.369998E+5;5.607690E+4;-3.948660E+4;5.490547E+4;-3.911619E+4
1.179305E+5;6.096950E+4;-3.901120E+4;5.973607E+4;-3.904428E+4
1.015155E+5;6.570430E+4;-3.815630E+4;6.451297E+4;-3.858996E+4
8.738533E+4;7.021750E+4;-3.696320E+4;6.916148E+4;-3.777366E+4
7.522198E+4;7.446070E+4;-3.549240E+4;7.361536E+4;-3.663084E+4
6.475168E+4;7.839600E+4;-3.380060E+4;7.782043E+4;-3.520842E+4
5.573875E+4;8.200340E+4;-3.195250E+4;8.173672E+4;-3.356055E+4
