Freq /Hz, Zr , Zi ; Name: 50_-5000
2.653065E+2;2.478740E+3;-8.177020E+1
2.455188E+2;2.481850E+3;-7.578380E+1
2.272069E+2;2.483780E+3;-7.194780E+1
2.102609E+2;2.484640E+3;-6.929430E+1
1.945787E+2;2.485870E+3;-6.389210E+1
1.800662E+2;2.486760E+3;-5.889740E+1
1.666360E+2;2.488030E+3;-5.729230E+1
1.542076E+2;2.485670E+3;-5.359120E+1
1.427061E+2;2.489320E+3;-4.879910E+1
1.320625E+2;2.490830E+3;-4.491850E+1
1.222127E+2;2.490730E+3;-4.123140E+1
1.130975E+2;2.489780E+3;-3.861940E+1
1.046622E+2;2.487730E+3;-3.386620E+1
9.685606E+1;2.491790E+3;-3.428620E+1
8.963211E+1;2.486950E+3;-3.469220E+1
8.294696E+1;2.491320E+3;-3.340330E+1
7.676041E+1;2.492500E+3;-2.977920E+1
7.103528E+1;2.495760E+3;-2.594610E+1
6.573716E+1;2.495760E+3;-2.892390E+1
6.083420E+1;2.500060E+3;-1.729320E+1
5.629692E+1;2.490390E+3;-1.646160E+1
5.209805E+1;2.492930E+3;-2.637530E+1
4.821235E+1;2.499470E+3;-2.579820E+1
4.461646E+1;2.506210E+3;-1.454320E+1
4.128877E+1;2.482240E+3;-1.867270E+1
3.820927E+1;2.490960E+3;-1.101810E+1
3.535946E+1;2.504300E+3;-1.324520E+1
3.272220E+1;2.485650E+3;-9.949250E-1
3.028163E+1;2.502790E+3;-1.689750E+1
2.802310E+1;2.503180E+3;-1.801340E+1
2.593301E+1;2.482570E+3;-2.760870E+1
2.399882E+1;2.494760E+3;2.855410E+0
2.220888E+1;2.490470E+3;-1.508380E+1
2.055244E+1;2.505320E+3;-4.512780E+0
1.901955E+1;2.501000E+3;-1.857830E+1
1.760099E+1;2.498680E+3;-3.843250E+1
1.628823E+1;2.494250E+3;-1.458240E-1
1.507339E+1;2.486210E+3;-1.567560E+1
1.394915E+1;2.504210E+3;-8.149230E+0
1.290876E+1;2.454990E+3;-2.151070E+1
1.194597E+1;2.500620E+3;-3.332350E+0
1.105498E+1;2.476910E+3;-2.147200E+1
1.023046E+1;2.488150E+3;-5.428990E+0
9.467424E+0;2.498840E+3;5.024460E+0
8.761302E+0;2.470940E+3;-1.734600E+1
8.107846E+0;2.482430E+3;3.919550E+1
7.503127E+0;2.501130E+3;6.959030E+1
6.943511E+0;2.421110E+3;3.350460E+1
6.425634E+0;2.495920E+3;-2.607580E+1
5.946382E+0;2.473810E+3;1.584200E+1
5.502875E+0;2.526940E+3;5.800550E+1
5.092447E+0;2.576270E+3;5.226410E+1
